"siteID","namedLocation","startDate","injectionType","slugTracerMass","slugPourTime","injectateSampleID","injConc","constantRateTracerMass","carboyVolume","dripStartTime","injRate","backgroundConc","plateauConc","hoboSampleID","injConcCalcQF","plateauCond"
"KING","KING.AOS.reaeration.station.04","2015-07-21T15:51Z","NaCl",,"2015-07-21T15:51Z","KING.00.20150721.TCR",116030,3266,18,,145,1.751,9.189,"KING_S4_20150721",0,618.8
"KING","KING.AOS.reaeration.station.01","2015-07-21T15:51Z","NaCl",,"2015-07-21T15:51Z","KING.00.20150721.TCR",116030,3266,18,,145,1.565,10.8556,"KING_S1_20150721",0,618.8
"KING","KING.AOS.reaeration.station.04","2015-07-29T16:00Z","NaBr",,"2015-07-29T16:00Z","KING.00.20150729.TCR",26358,1157,18,,145,1.6134,5.18406666666667,"KING_S4_20150729",0,
"KING","KING.AOS.reaeration.station.01","2015-07-29T16:00Z","NaBr",,"2015-07-29T16:00Z","KING.00.20150729.TCR",26358,1157,18,,145,1.5835,7.6766,"KING_S1_20150729",0,
"KING","KING.AOS.reaeration.station.01","2015-08-19T14:30Z","NaBr",,"2015-08-19T14:30Z","KING.00.20150819.TCR",0,0,18,,141,0.23953,0.3487575,"KING_S1_20150819",1,
"KING","KING.AOS.reaeration.station.04","2015-08-19T14:30Z","NaBr",,"2015-08-19T14:30Z","KING.00.20150819.TCR",0,0,18,,141,0.27626,0.368913333333333,"KING_S4_20150819",1,
"KING","KING.AOS.reaeration.station.04","2015-09-02T15:45Z","NaBr",,"2015-09-02T15:45Z",,0.555555555555556,0.01,18,,145,0.48975,0.61572,"KING_S4_20150902",1,
"KING","KING.AOS.reaeration.station.01","2015-09-02T15:45Z","NaBr",,"2015-09-02T15:45Z",,0.555555555555556,0.01,18,,145,0.48739,0.675285,"KING_S1_20150902",1,
"KING","KING.AOS.reaeration.station.01","2016-05-19T14:00Z","NaBr",,"2016-05-19T14:00Z","KING.00.20160519.TCR",368.421052631579,7,19,,200,,,"KING_S1_20160519",1,536.8
"KING","KING.AOS.reaeration.station.04","2016-05-19T14:00Z","NaBr",,"2016-05-19T14:00Z","KING.00.20160519.TCR",368.421052631579,7,19,,200,,,"KING_S4_20160519",1,536.8
"KING","KING.AOS.reaeration.station.04","2016-07-06T14:26Z","NaBr",,"2016-07-06T14:26Z","KING.00.20160706.TCR",1983,67,19,,224,0.28,0.498,"KING_S4_20160706",0,649.4
"KING","KING.AOS.reaeration.station.01","2016-07-06T14:26Z","NaBr",,"2016-07-06T14:26Z","KING.00.20160706.TCR",1983,67,19,,224,0.23,0.796,"KING_S1_20160706",0,649.4
"KING","KING.AOS.reaeration.station.03","2017-04-25T17:25Z","NaBr",2211,"2017-04-25T17:25Z","KING.00.20170425.TCR",12333.3333333333,222,18,"2017-04-25T17:25Z",200,,,"",1,591
"KING","KING.AOS.reaeration.station.04","2017-04-25T17:25Z","NaBr",2211,"2017-04-25T17:25Z","KING.00.20170425.TCR",12333.3333333333,222,18,"2017-04-25T17:25Z",200,,,"KING_S4_20170425",1,591
"KING","KING.AOS.reaeration.station.01","2017-04-25T17:25Z","NaBr",2211,"2017-04-25T17:25Z","KING.00.20170425.TCR",12333.3333333333,222,18,"2017-04-25T17:25Z",200,,,"KING_S1_20170425",1,588
"KING","KING.AOS.reaeration.station.02","2017-04-25T17:25Z","NaBr",2211,"2017-04-25T17:25Z","KING.00.20170425.TCR",12333.3333333333,222,18,"2017-04-25T17:25Z",200,,,"",1,590
"KING","KING.AOS.reaeration.station.04","2017-05-23T13:50Z","NaBr",2311,"2017-05-23T15:23Z","KING.00.20170523.TCR",627.777777777778,11.3,18,"2017-05-23T15:23Z",200,,,"KING_S4_20170523",1,620
"KING","KING.AOS.reaeration.station.02","2017-05-23T13:50Z","NaBr",2311,"2017-05-23T15:23Z","KING.00.20170523.TCR",627.777777777778,11.3,18,"2017-05-23T15:23Z",200,,,"",1,1000
"KING","KING.AOS.reaeration.station.01","2017-05-23T13:50Z","NaBr",2311,"2017-05-23T15:23Z","KING.00.20170523.TCR",627.777777777778,11.3,18,"2017-05-23T15:23Z",200,,,"KING_S1_20170523",1,1000
"KING","KING.AOS.reaeration.station.03","2017-05-23T13:50Z","NaBr",2311,"2017-05-23T15:23Z","KING.00.20170523.TCR",627.777777777778,11.3,18,"2017-05-23T15:23Z",200,,,"",1,980
"KING","KING.AOS.reaeration.station.02","2017-06-22T14:49Z","NaBr",2211,"2017-06-22T14:49Z","KING.00.20170622.TCR",377.222222222222,6.79,18,"2017-06-22T14:49Z",200,,,"",1,730
"KING","KING.AOS.reaeration.station.01","2017-06-22T14:49Z","NaBr",2211,"2017-06-22T14:49Z","KING.00.20170622.TCR",377.222222222222,6.79,18,"2017-06-22T14:49Z",200,,,"KING_S1_20170622",1,732
"KING","KING.AOS.reaeration.station.03","2017-06-22T14:49Z","NaBr",2211,"2017-06-22T14:49Z","KING.00.20170622.TCR",377.222222222222,6.79,18,"2017-06-22T14:49Z",200,,,"",1,736
"KING","KING.AOS.reaeration.station.04","2017-06-22T14:49Z","NaBr",2211,"2017-06-22T14:49Z","KING.00.20170622.TCR",377.222222222222,6.79,18,"2017-06-22T14:49Z",200,,,"KING_S4_20170622",1,735
"LECO","LECO.AOS.reaeration.station.04","2015-08-24T14:45Z","NaCl",,"2015-08-24T14:45Z","LECO.00.20150824.TCR",48665,2300,18,,91.5,0.51491,2.06978,"LECO_S4_20150824",0,27.14
"LECO","LECO.AOS.reaeration.station.01","2015-08-24T14:45Z","NaCl",,"2015-08-24T14:45Z","LECO.00.20150824.TCR",48665,2300,18,,91.5,0.50798,2.18534,"LECO_S1_20150824",0,27.14
"LECO","LECO.AOS.reaeration.station.01","2015-09-08T15:00Z","NaCl",,"2015-09-08T15:00Z","LECO.00.20150908.TCR",53157,2300,18,,44,0.5203,5.1461,"LECO_S1_20150908",0,39.26
"LECO","LECO.AOS.reaeration.station.04","2015-09-08T15:00Z","NaCl",,"2015-09-08T15:00Z","LECO.00.20150908.TCR",53157,2300,18,,44,0.49721,3.170184,"LECO_S4_20150908",0,39.26
"LECO","LECO.AOS.reaeration.station.01","2015-10-13T15:00Z","NaCl",,"2015-10-13T15:00Z","LECO.00.20151013.TCR",73380,2500,18,,73,0.46934,0.809646,"LECO_S1_20151013",0,18.7
"LECO","LECO.AOS.reaeration.station.04","2015-10-13T15:00Z","NaCl",,"2015-10-13T15:00Z","LECO.00.20151013.TCR",73380,2500,18,,73,0.48971,0.79443,"LECO_S4_20151013",0,18.7
"LECO","LECO.AOS.reaeration.station.01","2015-10-28T15:30Z","NaCl",,"2015-10-28T15:30Z","LECO.00.20151028.TCR",89548,2800,18,,92.5,3.1176,1.23982,"LECO_S1_20151028",0,21.3
"LECO","LECO.AOS.reaeration.station.04","2015-10-28T15:30Z","NaCl",,"2015-10-28T15:30Z","LECO.00.20151028.TCR",89548,2800,18,,92.5,4.1111,1.25302,"LECO_S4_20151028",0,21.3
"LECO","LECO.AOS.reaeration.station.01","2015-11-09T18:00Z","NaCl",,"2015-11-09T18:00Z","LECO.00.20151109.TCR",61665,2800,18,,119,0.57841,0.713648,"LECO_S1_20151109",0,18.06
"LECO","LECO.AOS.reaeration.station.04","2015-11-09T18:00Z","NaCl",,"2015-11-09T18:00Z","LECO.00.20151109.TCR",61665,2800,18,,119,0.51763,0.749006,"LECO_S4_20151109",0,18.06
"LECO","LECO.AOS.reaeration.station.01","2015-12-07T17:20Z","NaCl",,"2015-12-07T17:20Z","LECO.00.20151207.TCR",99280,3000,18,,104,0.44,1.37,"LECO_S1_20151207",0,19.76
"LECO","LECO.AOS.reaeration.station.04","2015-12-07T17:20Z","NaCl",,"2015-12-07T17:20Z","LECO.00.20151207.TCR",99280,3000,18,,104,0.43,1.13,"LECO_S4_20151207",0,19.76
"LECO","LECO.AOS.reaeration.station.01","2015-12-15T15:50Z","NaCl",,"2015-12-15T15:50Z","LECO.00.20151215.TCR",108180,4750,18,,153,,,"LECO_S1_20151215",0,28.08
"LECO","LECO.AOS.reaeration.station.04","2015-12-15T15:50Z","NaCl",,"2015-12-15T15:50Z","LECO.00.20151215.TCR",108180,4750,18,,153,,,"LECO_S4_20151215",0,28.08
"LECO","LECO.AOS.reaeration.station.04","2016-01-13T16:46Z","NaCl",,"2016-01-13T16:46Z","LECO.00.20160113.TCR",16787,4500,36,,203.5,1,2.594,"LECO_S4_20160113",0,
"LECO","LECO.AOS.reaeration.station.01","2016-01-13T16:46Z","NaCl",,"2016-01-13T16:46Z","LECO.00.20160113.TCR",16787,4500,36,,203.5,1.17,2.72,"LECO_S1_20160113",0,
"LECO","LECO.AOS.reaeration.station.04","2016-06-27T16:52Z","NaCl",,"2016-06-27T16:52Z","LECO.00.20160627.TCR",25132,3500,36,,149.5,0.92,2.536,"LECO_S4_20160627",0,29.26
"LECO","LECO.AOS.reaeration.station.01","2016-06-27T16:52Z","NaCl",,"2016-06-27T16:52Z","LECO.00.20160627.TCR",25132,3500,36,,149.5,0.96,3,"LECO_S1_20160627",0,29.26
"LECO","LECO.AOS.reaeration.station.01","2016-08-30T15:00Z","NaCl",,"2016-08-30T15:00Z","LECO.00.20160830.TCR",55555.5555555556,2000,36,,190,,,"LECO_S1_20160830",1,34.34
"LECO","LECO.AOS.reaeration.station.04","2016-08-30T15:00Z","NaCl",,"2016-08-30T15:00Z","LECO.00.20160830.TCR",55555.5555555556,2000,36,,190,,,"LECO_S4_20160830",1,34.34
"LECO","LECO.AOS.reaeration.station.04","2016-11-07T17:00Z","NaCl",,"2016-11-07T17:00Z","LECO.00.20161107.TCR",28571.4285714286,1000,35,,250,1.52,2.82,"LECO_S4_20161107",1,30.42
"LECO","LECO.AOS.reaeration.station.01","2016-11-07T17:00Z","NaCl",,"2016-11-07T17:00Z","LECO.00.20161107.TCR",28571.4285714286,1000,35,,250,1.5,3.05,"LECO_S1_20161107",1,30.42
"LECO","LECO.AOS.reaeration.station.01","2017-02-08T16:15Z","NaCl",,"2017-02-08T16:15Z","LECO.00.20170208.TCR",111111.111111111,4000,36,,242.5,,,"LECO_S1_20170208",1,27.7
"LECO","LECO.AOS.reaeration.station.04","2017-02-08T16:15Z","NaCl",,"2017-02-08T16:15Z","LECO.00.20170208.TCR",111111.111111111,4000,36,,242.5,,,"LECO_S4_20170208",1,27.7
"LECO","LECO.AOS.reaeration.station.04","2017-04-10T16:28Z","NaCl",,"2017-04-10T16:28Z","LECO.00.20170410.TCR",42857.1428571429,3000,70,"2017-04-10T16:57Z",300,,,"LECO_S4_20170410",1,22.5
"LECO","LECO.AOS.reaeration.station.02","2017-04-10T16:28Z","NaCl",,"2017-04-10T16:28Z","LECO.00.20170410.TCR",42857.1428571429,3000,70,"2017-04-10T16:57Z",300,,,"",1,22.5
"LECO","LECO.AOS.reaeration.station.01","2017-04-10T16:28Z","NaCl",,"2017-04-10T16:28Z","LECO.00.20170410.TCR",42857.1428571429,3000,70,"2017-04-10T16:57Z",300,,,"LECO_S1_20170410",1,23
"LECO","LECO.AOS.reaeration.station.03","2017-04-10T16:28Z","NaCl",,"2017-04-10T16:28Z","LECO.00.20170410.TCR",42857.1428571429,3000,70,"2017-04-10T16:57Z",300,,,"",1,22.7
"LECO","LECO.AOS.reaeration.station.03","2017-06-05T15:22Z","NaCl",,"2017-06-05T15:22Z","LECO.00.20170605.TCR",144736.842105263,5500,38,"2017-06-05T16:20Z",250,,,"",1,26.5
"LECO","LECO.AOS.reaeration.station.01","2017-06-05T15:22Z","NaCl",,"2017-06-05T15:22Z","LECO.00.20170605.TCR",144736.842105263,5500,38,"2017-06-05T16:20Z",250,,,"LECO_S1_20170605",1,26.6
"LECO","LECO.AOS.reaeration.station.02","2017-06-05T15:22Z","NaCl",,"2017-06-05T15:22Z","LECO.00.20170605.TCR",144736.842105263,5500,38,"2017-06-05T16:20Z",250,,,"",1,26.8
"LECO","LECO.AOS.reaeration.station.04","2017-06-05T15:22Z","NaCl",,"2017-06-05T15:22Z","LECO.00.20170605.TCR",144736.842105263,5500,38,"2017-06-05T16:20Z",250,,,"LECO_S4_20170605",1,26.8
